,index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
,0,18,148400,116432,148401,116432,148400,116433,148401,116433,148400,116434,148401,116434,148400,116435,148401,116435,148400,116436,148401,116436,148400,116437,148401,116437,
,1,18,148402,116432,148403,116432,148402,116433,148403,116433,148402,116434,148403,116434,148402,116435,148403,116435,148402,116436,148403,116436,148402,116437,148403,116437,
,2,18,148404,116432,148405,116432,148404,116433,148405,116433,148404,116434,148405,116434,148404,116435,148405,116435,148404,116436,148405,116436,148404,116437,148405,116437,
,3,18,148406,116432,148407,116432,148406,116433,148407,116433,148406,116434,148407,116434,148406,116435,148407,116435,148406,116436,148407,116436,148406,116437,148407,116437,
,4,18,148408,116432,148409,116432,148408,116433,148409,116433,148408,116434,148409,116434,148408,116435,148409,116435,148408,116436,148409,116436,148408,116437,148409,116437,
,5,18,148410,116432,148411,116432,148410,116433,148411,116433,148410,116434,148411,116434,148410,116435,148411,116435,148410,116436,148411,116436,148410,116437,148411,116437,
,6,18,148412,116432,148413,116432,148412,116433,148413,116433,148412,116434,148413,116434,148412,116435,148413,116435,148412,116436,148413,116436,148412,116437,148413,116437,
,7,18,148414,116432,148415,116432,148414,116433,148415,116433,148414,116434,148415,116434,148414,116435,148415,116435,148414,116436,148415,116436,148414,116437,148415,116437,
,8,18,148416,116432,148417,116432,148416,116433,148417,116433,148416,116434,148417,116434,148416,116435,148417,116435,148416,116436,148417,116436,148416,116437,148417,116437,
,9,18,148418,116432,148419,116432,148418,116433,148419,116433,148418,116434,148419,116434,148418,116435,148419,116435,148418,116436,148419,116436,148418,116437,148419,116437,
,10,18,148420,116432,148421,116432,148420,116433,148421,116433,148420,116434,148421,116434,148420,116435,148421,116435,148420,116436,148421,116436,148420,116437,148421,116437,
,11,18,148422,116432,148423,116432,148422,116433,148423,116433,148422,116434,148423,116434,148422,116435,148423,116435,148422,116436,148423,116436,148422,116437,148423,116437,
,12,18,148424,116432,148425,116432,148424,116433,148425,116433,148424,116434,148425,116434,148424,116435,148425,116435,148424,116436,148425,116436,148424,116437,148425,116437,
,13,18,148426,116432,148427,116432,148426,116433,148427,116433,148426,116434,148427,116434,148426,116435,148427,116435,148426,116436,148427,116436,148426,116437,148427,116437,
,14,18,148428,116432,148429,116432,148428,116433,148429,116433,148428,116434,148429,116434,148428,116435,148429,116435,148428,116436,148429,116436,148428,116437,148429,116437,
,15,18,148430,116432,148431,116432,148430,116433,148431,116433,148430,116434,148431,116434,148430,116435,148431,116435,148430,116436,148431,116436,148430,116437,148431,116437,
,16,18,148432,116432,148433,116432,148432,116433,148433,116433,148432,116434,148433,116434,148432,116435,148433,116435,148432,116436,148433,116436,148432,116437,148433,116437,
,17,18,148434,116432,148435,116432,148434,116433,148435,116433,148434,116434,148435,116434,148434,116435,148435,116435,148434,116436,148435,116436,148434,116437,148435,116437,
,18,18,148436,116432,148437,116432,148436,116433,148437,116433,148436,116434,148437,116434,148436,116435,148437,116435,148436,116436,148437,116436,148436,116437,148437,116437,
,19,18,148438,116432,148439,116432,148438,116433,148439,116433,148438,116434,148439,116434,148438,116435,148439,116435,148438,116436,148439,116436,148438,116437,148439,116437,
,20,18,148440,116432,148441,116432,148440,116433,148441,116433,148440,116434,148441,116434,148440,116435,148441,116435,148440,116436,148441,116436,148440,116437,148441,116437,
,21,18,148442,116432,148443,116432,148442,116433,148443,116433,148442,116434,148443,116434,148442,116435,148443,116435,148442,116436,148443,116436,148442,116437,148443,116437,
,22,18,148444,116432,148445,116432,148444,116433,148445,116433,148444,116434,148445,116434,148444,116435,148445,116435,148444,116436,148445,116436,148444,116437,148445,116437,
,23,18,148446,116432,148447,116432,148446,116433,148447,116433,148446,116434,148447,116434,148446,116435,148447,116435,148446,116436,148447,116436,148446,116437,148447,116437,
,24,18,148448,116432,148449,116432,148448,116433,148449,116433,148448,116434,148449,116434,148448,116435,148449,116435,148448,116436,148449,116436,148448,116437,148449,116437,
,25,18,148450,116432,148451,116432,148450,116433,148451,116433,148450,116434,148451,116434,148450,116435,148451,116435,148450,116436,148451,116436,148450,116437,148451,116437,
